City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
0,Busselton,AU,2020-03-03 05:24:21,-33.65,115.33,88.0,19,0,12.03,Clear,0.0,0.0
1,Faya,SA,2020-03-03 05:24:21,18.39,42.45,60.8,37,5,5.79,Clear,0.0,0.0
2,Rikitea,PF,2020-03-03 05:23:03,-23.12,-134.97,79.43,84,100,20.51,Rain,2.31,0.0
3,Chokurdakh,RU,2020-03-03 05:24:22,70.63,147.92,0.88,83,93,13.76,Clouds,0.0,0.0
4,Port Hedland,AU,2020-03-03 05:24:22,-20.32,118.57,93.2,56,19,13.87,Clouds,0.0,0.0
5,Hithadhoo,MV,2020-03-03 05:24:22,-0.6,73.08,84.81,63,64,5.66,Clouds,0.0,0.0
6,Klaksvik,FO,2020-03-03 05:24:22,62.23,-6.59,35.6,80,83,8.05,Clouds,0.0,0.0
7,Punta Arenas,CL,2020-03-03 05:24:22,-53.15,-70.92,50.0,76,75,8.05,Clouds,0.0,0.0
8,Vaini,TO,2020-03-03 05:24:23,-21.2,-175.2,82.4,78,20,6.93,Clouds,0.0,0.0
9,Jamestown,US,2020-03-03 05:21:44,42.1,-79.24,45.0,100,90,8.05,Fog,0.0,0.0
10,Conakry,GN,2020-03-03 05:24:23,9.54,-13.68,74.66,84,0,3.96,Clear,0.0,0.0
11,Provideniya,RU,2020-03-03 05:24:23,64.38,-173.3,5.0,71,67,15.66,Clouds,0.0,0.0
12,Vaini,TO,2020-03-03 05:24:23,-21.2,-175.2,82.4,78,20,6.93,Clouds,0.0,0.0
13,Busselton,AU,2020-03-03 05:24:24,-33.65,115.33,88.0,19,0,12.03,Clear,0.0,0.0
14,Butaritari,KI,2020-03-03 05:24:24,3.07,172.79,83.25,74,100,16.53,Clouds,0.0,0.0
15,Evanston,US,2020-03-03 05:24:24,42.04,-87.69,36.0,74,1,3.36,Clear,0.0,0.0
16,Bluff,NZ,2020-03-03 05:24:24,-46.6,168.33,60.01,69,56,21.99,Clouds,0.0,0.0
17,Mahebourg,MU,2020-03-03 05:24:25,-20.41,57.7,84.0,100,75,3.36,Rain,0.0,0.0
18,Khatanga,RU,2020-03-03 05:24:25,71.97,102.5,13.17,91,56,10.18,Clouds,0.0,0.0
19,Yulara,AU,2020-03-03 05:24:25,-25.24,130.99,73.4,64,90,16.11,Clouds,0.0,0.0
20,Bima,ID,2020-03-03 05:24:25,-8.47,118.72,87.46,60,100,6.24,Clouds,0.0,0.0
21,Raudeberg,NO,2020-03-03 05:24:26,61.99,5.14,42.8,56,75,12.75,Clouds,0.0,0.0
22,Barrow,US,2020-03-03 05:24:26,71.29,-156.79,-29.2,95,40,8.05,Clouds,0.0,0.0
23,Dikson,RU,2020-03-03 05:24:26,73.51,80.55,7.02,95,100,5.3,Snow,0.0,0.13
24,Albany,US,2020-03-03 05:24:26,42.6,-73.97,46.99,100,90,4.03,Clouds,0.0,0.0
25,Dunedin,NZ,2020-03-03 05:24:27,-45.87,170.5,57.99,85,98,5.39,Rain,0.75,0.0
26,Rikitea,PF,2020-03-03 05:23:03,-23.12,-134.97,79.43,84,100,20.51,Rain,2.31,0.0
27,Matay,EG,2020-03-03 05:24:27,28.42,30.78,57.76,41,0,5.1,Clear,0.0,0.0
28,Mahebourg,MU,2020-03-03 05:24:25,-20.41,57.7,84.0,100,75,3.36,Rain,0.0,0.0
29,Alexandria,EG,2020-03-03 05:24:27,31.22,29.96,51.8,87,12,6.31,Clouds,0.0,0.0
30,New Norfolk,AU,2020-03-03 05:24:28,-42.78,147.06,66.99,59,20,18.34,Clouds,0.0,0.0
31,Mataura,NZ,2020-03-03 05:24:28,-46.19,168.86,60.01,69,71,21.99,Rain,0.13,0.0
32,Port Blair,IN,2020-03-03 05:24:28,11.67,92.75,80.8,71,0,9.64,Clear,0.0,0.0
33,Laguna,US,2020-03-03 05:19:40,38.42,-121.42,68.0,34,1,10.29,Clear,0.0,0.0
34,Bluff,NZ,2020-03-03 05:24:24,-46.6,168.33,60.01,69,56,21.99,Clouds,0.0,0.0
35,Rikitea,PF,2020-03-03 05:23:03,-23.12,-134.97,79.43,84,100,20.51,Rain,2.31,0.0
36,Saravan,AM,2020-03-03 05:24:29,39.72,45.65,41.0,74,20,4.7,Clouds,0.0,0.0
37,Antofagasta,CL,2020-03-03 05:23:42,-23.65,-70.4,66.2,77,90,5.82,Clouds,0.0,0.0
38,Rikitea,PF,2020-03-03 05:23:03,-23.12,-134.97,79.43,84,100,20.51,Rain,2.31,0.0
39,Longyearbyen,SJ,2020-03-03 05:24:30,78.22,15.64,-4.0,76,75,3.36,Snow,0.0,0.0
40,Sabinov,SK,2020-03-03 05:24:30,49.1,21.1,43.0,86,100,6.93,Rain,0.81,0.0
41,Mataura,NZ,2020-03-03 05:24:28,-46.19,168.86,60.01,69,71,21.99,Rain,0.13,0.0
42,Vila Franca Do Campo,PT,2020-03-03 05:24:30,37.72,-25.43,64.4,93,75,13.87,Clouds,0.0,0.0
43,Victoria,HK,2020-03-03 05:23:36,22.29,114.16,77.0,68,20,17.22,Clouds,0.0,0.0
44,Ushuaia,AR,2020-03-03 05:24:31,-54.8,-68.3,46.4,65,40,31.09,Clouds,0.0,0.0
45,Ushuaia,AR,2020-03-03 05:24:31,-54.8,-68.3,46.4,65,40,31.09,Clouds,0.0,0.0
46,Atuona,PF,2020-03-03 05:24:31,-9.8,-139.03,82.27,77,35,18.14,Clouds,0.0,0.0
47,Port Alfred,ZA,2020-03-03 05:24:10,-33.59,26.89,66.99,97,1,4.29,Clear,0.0,0.0
48,Pasni,PK,2020-03-03 05:24:32,25.26,63.47,78.89,28,0,8.5,Clear,0.0,0.0
49,Dandong,CN,2020-03-03 05:24:32,40.13,124.39,39.42,53,100,12.84,Clouds,0.0,0.0
50,Kaitangata,NZ,2020-03-03 05:24:32,-46.28,169.85,57.99,85,88,17.29,Clouds,0.0,0.0
51,Bredasdorp,ZA,2020-03-03 05:24:32,-34.53,20.04,69.01,88,28,4.7,Clouds,0.0,0.0
52,Cayenne,GF,2020-03-03 05:24:33,4.93,-52.33,75.2,100,90,3.36,Clouds,0.0,0.0
53,Touros,BR,2020-03-03 05:24:33,-5.2,-35.46,75.2,100,75,8.05,Rain,0.0,0.0
54,Te Anau,NZ,2020-03-03 05:24:33,-45.42,167.72,52.66,73,35,13.4,Rain,0.19,0.0
55,Avarua,CK,2020-03-03 05:24:33,-21.21,-159.78,82.4,83,27,4.7,Clouds,0.0,0.0
56,Ulaangom,MN,2020-03-03 05:24:34,49.98,92.07,7.92,93,100,4.76,Clouds,0.0,0.0
57,Bambous Virieux,MU,2020-03-03 05:24:34,-20.34,57.76,84.0,100,75,3.36,Rain,0.0,0.0
58,Rikitea,PF,2020-03-03 05:23:03,-23.12,-134.97,79.43,84,100,20.51,Rain,2.31,0.0
59,Punta Arenas,CL,2020-03-03 05:24:34,-53.15,-70.92,50.0,76,75,8.05,Clouds,0.0,0.0
