City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,88.0,Clear,-33.65,115.33,Observatory Guest House
1,Faya,SA,60.8,Clear,18.39,42.45,مقبرة ال مجمل
4,Port Hedland,AU,93.2,Clouds,-20.32,118.57,The Esplanade Hotel
5,Hithadhoo,MV,84.81,Clouds,-0.6,73.08,Scoop Guest House
6,Klaksvik,FO,35.6,Clouds,62.23,-6.59,Airbnb rooms
7,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
8,Vaini,TO,82.4,Clouds,-21.2,-175.2,Keleti Beach Resort
9,Jamestown,US,45.0,Fog,42.1,-79.24,Hampton Inn & Suites Jamestown
10,Conakry,GN,74.66,Clear,9.54,-13.68,Riviera Royal Hotel
12,Vaini,TO,82.4,Clouds,-21.2,-175.2,Keleti Beach Resort
13,Busselton,AU,88.0,Clear,-33.65,115.33,Observatory Guest House
14,Butaritari,KI,83.25,Clouds,3.07,172.79,Isles Sunset Lodge
15,Evanston,US,36.0,Clear,42.04,-87.69,Hilton Orrington/Evanston
16,Bluff,NZ,60.01,Clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
17,Mahebourg,MU,84.0,Rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
18,Khatanga,RU,13.17,Clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
19,Yulara,AU,73.4,Clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
20,Bima,ID,87.46,Clouds,-8.47,118.72,Lambitu Hotel
21,Raudeberg,NO,42.8,Clouds,61.99,5.14,Nordre Silda.
24,Albany,US,46.99,Clouds,42.6,-73.97,
27,Matay,EG,57.76,Clear,28.42,30.78,Nag Aespen
28,Mahebourg,MU,84.0,Rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
29,Alexandria,EG,51.8,Clouds,31.22,29.96,Kaoud Sporting Hotel - Families Only
30,New Norfolk,AU,66.99,Clouds,-42.78,147.06,The Shingles Riverside Cottages
32,Port Blair,IN,80.8,Clear,11.67,92.75,Fortune Resort Bay Island
33,Laguna,US,68.0,Clear,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
34,Bluff,NZ,60.01,Clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
36,Saravan,AM,41.0,Clouds,39.72,45.65,
37,Antofagasta,CL,66.2,Clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
42,Vila Franca Do Campo,PT,64.4,Clouds,37.72,-25.43,Pestana Bahia Praia
43,Victoria,HK,77.0,Clouds,22.29,114.16,Mini Hotel Central
44,Ushuaia,AR,46.4,Clouds,-54.8,-68.3,Albatros Hotel
45,Ushuaia,AR,46.4,Clouds,-54.8,-68.3,Albatros Hotel
46,Atuona,PF,82.27,Clouds,-9.8,-139.03,Villa Enata
47,Port Alfred,ZA,66.99,Clear,-33.59,26.89,The Halyards Hotel
48,Pasni,PK,78.89,Clear,25.26,63.47,3G hotel pasni
49,Dandong,CN,39.42,Clouds,40.13,124.39,Yiranju Farmstay
50,Kaitangata,NZ,57.99,Clouds,-46.28,169.85,Kaitangata Motor Camp
51,Bredasdorp,ZA,69.01,Clouds,-34.53,20.04,Bredasdorp Country Manor
52,Cayenne,GF,75.2,Clouds,4.93,-52.33,Hôtel Le Dronmi
53,Touros,BR,75.2,Rain,-5.2,-35.46,INN NEW HORIZON
55,Avarua,CK,82.4,Clouds,-21.21,-159.78,Paradise Inn
57,Bambous Virieux,MU,84.0,Rain,-20.34,57.76,Casa Tia Villa
59,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
60,Port Alfred,ZA,66.99,Clear,-33.59,26.89,The Halyards Hotel
62,Monywa,MM,88.75,Clear,22.12,95.13,Monywa Hotel
63,Khovu-Aksy,RU,18.93,Clouds,51.13,93.6,
65,Cape Town,ZA,64.0,Clear,-33.93,18.42,Southern Sun Waterfront Cape Town
67,Hermanus,ZA,69.01,Clear,-34.42,19.23,Misty Waves Boutique Hotel
68,Busselton,AU,88.0,Clear,-33.65,115.33,Observatory Guest House
71,Doha,QA,68.0,Clear,25.29,51.53,Doha Marriott Hotel
72,Jamestown,US,45.0,Fog,42.1,-79.24,Hampton Inn & Suites Jamestown
73,Oskarshamn,SE,37.99,Clouds,57.26,16.45,Best Western Hotel Corallen
74,Cockburn Town,TC,74.41,Clouds,21.46,-71.14,Osprey Beach Hotel
75,Tessalit,ML,67.42,Clear,20.2,1.01,
77,Gao,ML,72.5,Clear,16.64,1.64,
78,Port Alfred,ZA,66.99,Clear,-33.59,26.89,The Halyards Hotel
79,Hobart,AU,66.99,Clouds,-42.88,147.33,St Ives Apartments
80,Hermanus,ZA,69.01,Clear,-34.42,19.23,Misty Waves Boutique Hotel
81,Norden,DE,39.2,Clouds,53.6,7.2,Hotel Aquarius
82,Sena Madureira,BR,71.85,Clear,-9.07,-68.66,Hotel Suzani
83,Hobart,AU,66.99,Clouds,-42.88,147.33,St Ives Apartments
84,Farim,GW,65.14,Clear,12.48,-15.22,
85,Kristiansund,NO,35.6,Clouds,63.11,7.73,Thon Hotels Storgata
86,Hermanus,ZA,69.01,Clear,-34.42,19.23,Misty Waves Boutique Hotel
87,Lorengau,PG,85.46,Clouds,-2.02,147.27,Lorengau Harbourside Hotel
88,Vaini,TO,82.4,Clouds,-21.2,-175.2,Keleti Beach Resort
89,Hilo,US,73.4,Rain,19.73,-155.09,Hilo Hawaiian Hotel
90,Avarua,CK,82.4,Clouds,-21.21,-159.78,Paradise Inn
91,Ushuaia,AR,46.4,Clouds,-54.8,-68.3,Albatros Hotel
92,Hobart,AU,66.99,Clouds,-42.88,147.33,St Ives Apartments
93,Kapaa,US,73.4,Mist,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
94,Fukue,JP,55.4,Clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
96,Saint-Philippe,RE,86.0,Clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
97,Bethel,US,51.01,Clouds,41.37,-73.41,Courtyard by Marriott Danbury
99,Albany,US,46.99,Clouds,42.6,-73.97,
101,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
103,Raudeberg,NO,42.8,Clouds,61.99,5.14,Nordre Silda.
104,Port Elizabeth,ZA,68.0,Fog,-33.92,25.57,39 On Nile Guest House
106,Vila Franca Do Campo,PT,64.4,Clouds,37.72,-25.43,Pestana Bahia Praia
107,Jamestown,US,45.0,Fog,42.1,-79.24,Hampton Inn & Suites Jamestown
108,Taoudenni,ML,65.39,Clear,22.68,-3.98,
109,Luderitz,,64.4,Clear,-26.65,15.16,LÜDERITZ NEST HOTEL
110,Hilo,US,73.4,Rain,19.73,-155.09,Hilo Hawaiian Hotel
111,Kapaa,US,73.4,Mist,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
112,Lianran,CN,70.0,Clouds,24.92,102.48,Jinzhouwan Hotel
113,Cabo San Lucas,MX,66.99,Clouds,22.89,-109.91,Hotel Tesoro Los Cabos
